Gene_Name	GWAS_hits	GWAS_max_P_VALUE	GWAS_min_P_VALUE	GWAS_max_OR	GWAS_min_OR	GWAS_tissue_trait_flag
ASTN2	15.0	4e-08	1e-14	1.2935	0.0075	1
IGF1R	15.0	3e-08	6e-23	1.3780000000000001	0.0231	1
TP63	15.0	4e-08	7e-26	1.79	1.1171037	1
RTEL1	15.0	3e-09	4e-46	1.6	0.02508724	1
ABCG8	15.0	2e-08	2e-75	14.0	0.079	1
CD226	15.0	2e-08	4e-117	1.19	0.006999999999999999	1
RORA	15.0	2e-08	7e-20	4.5	0.024	1
GOSR2	15.0	3e-08	8e-17	1.22	0.0244	1
CALCRL	15.0	3e-08	6e-16	0.3365	0.0208	1
TNPO3	15.0	2e-08	6e-31	2.11	1.07	1
MARCH8	15.0	3e-08	5e-35	1.14	0.0	1
C6orf106	15.0	2e-08	4e-15	1.86	0.021	1
TNFRSF11B	15.0	7e-09	3e-39	0.14	0.02658321	1
PRKD1	15.0	3e-08	6e-11	6.372000000000001	0.017618373	1
EXOC2	15.0	1e-09	1e-51	2.2	0.01	1
FCGR2B	14.0	3e-08	0.0	1.361	0.03	1
ARL15	14.0	4e-08	8e-15	1.43	0.0094	1
KALRN	14.0	4e-08	2e-54	5.5	0.006	1
C3	14.0	2e-08	1e-135	2.86	0.04260843	1
SBK1	14.0	4e-08	2e-13	6.468	0.020839687	1
CPN1	14.0	4e-09	4e-127	6.0489999999999995	0.027999999999999997	1
PRRX1	14.0	1e-08	5e-191	1.26	0.021356299999999998	1
GJA1	14.0	4e-08	1e-64	13.0	0.207	1
PRKG2	14.0	2e-08	8e-48	1.2	0.0236	1
CCND1	14.0	4e-08	4e-95	1.95	0.0215	1
PLEKHA7	14.0	3e-08	8e-19	1.22	0.016422343	1
PIK3CG	14.0	2e-08	1e-99	4.05	0.02	1
SPTBN1	14.0	2e-08	2e-110	0.1106	0.0456176	1
ZBTB40	14.0	3e-08	7e-57	0.15	0.0430224	1
MST1	14.0	4e-08	1e-242	1.39	0.2	1
FUT6	14.0	2e-09	3e-290	49.78	0.0235424	1
TNS3	14.0	4e-08	4e-21	1.07	0.02077506	1
MYH6	14.0	3e-08	2e-100	136.0	0.19	1
NLRP3	14.0	1e-08	6e-29	0.047	0.01	1
CXCL6	14.0	9e-11	1e-97	0.8877	0.02356919	1
R3HDM4	14.0	8e-10	7e-43	0.1531547	0.02495241	1
TMCC2	14.0	4e-10	1e-210	2.804	0.01	1
TRAF3IP2	14.0	1e-08	4e-45	1.95	0.10300000000000001	1
NSD1	14.0	1e-08	6e-13	0.061	0.031	1
PDGFRA	14.0	8e-09	3e-126	1.26	0.03035	1
FAM46C	14.0	7e-09	2e-34	0.05851017	0.02739809	1
EDAR	14.0	1e-08	2e-103	3.333333	0.0076	1
ZNF652	14.0	4e-08	1e-15	1.51	0.021	1
DOT1L	14.0	4e-08	7e-28	1.15	0.0207965	1
DOCK7	14.0	2e-08	9e-43	4.94	0.012	1
PDXDC1	14.0	2e-08	2e-67	0.38	0.0	1
TMEM135	14.0	4e-08	4e-77	0.09	0.027939999999999996	1
SLC17A1	14.0	4e-08	7e-70	36.5	0.030650507999999996	1
PSMD3	14.0	3e-09	2e-108	1.051	0.0158	1
CPEB4	14.0	3e-08	8e-16	1.095	0.02	1
HBB	14.0	2e-09	2e-38	10.2	0.2038	1
IL2	14.0	4e-08	2e-27	1.59	1.056	1
TAGAP	14.0	3e-08	8e-21	1.31	1.1	1
TMEM229B	14.0	2e-08	9e-57	1.1148	0.0603	1
ADAMTS7	13.0	2e-08	4e-34	1.19	0.23800000000000002	1
PVRL2	13.0	3e-08	2e-62	1.6136	0.002	1
MTMR11	13.0	3e-08	6e-25	1.25	0.0309	1
SP140	13.0	2e-09	4e-23	1.45	0.02441812	1
MSMB	13.0	4e-08	0.0	9.2	0.0843414	1
MED13L	13.0	3e-08	2e-18	0.81	0.0451	1
SUPT3H	13.0	2e-08	5e-47	4.2	0.024	1
PROCR	13.0	4e-08	9e-237	1.17	0.0573	1
CPB2	13.0	1e-12	5e-232	0.8490000000000001	0.0832	1
ST5	13.0	7e-09	7e-19	1.05	0.024987400000000003	1
LTBP1	13.0	4e-08	7e-22	5.04	0.0193	1
STAT6	13.0	2e-08	1e-22	1.3	0.0270733	1
MMEL1	13.0	4e-08	1e-26	1.39	1.05	1
RAD50	13.0	4e-08	4e-70	13.9	0.02746763	1
LRP5	13.0	2e-09	2e-26	0.24837199999999998	0.0337338	1
C10orf107	13.0	3e-09	9e-35	0.696	0.36199185	1
PTPRD	13.0	3e-08	7e-42	1.57	0.05	1
BNC2	13.0	2e-08	2e-59	1.3157895	0.022000000000000002	1
KIT	13.0	1e-08	3e-39	1.4	0.0	1
SLC34A1	13.0	1e-08	3e-23	1.905	0.0081	1
SLC24A4	13.0	6e-09	1e-100	2.56	0.16	1
ANGPTL4	13.0	3e-08	1e-16	0.45	0.032	1
NOS3	13.0	2e-08	4e-33	5.953679599999999	0.1071	1
CD300LF	13.0	2e-08	4e-24	6.45	0.0077	1
MYL2	13.0	2e-08	9e-58	2.31	0.0119	1
FEN1	13.0	1e-09	1e-139	2.451	0.02	1
SLC8A1	13.0	4e-08	3e-17	2.08	0.002	1
ABCA7	13.0	4e-09	5e-17	1.79	0.02106893	1
PLEKHG1	13.0	6e-09	1e-28	0.9925	0.0537	1
ARHGAP24	13.0	4e-08	6e-20	8.46	0.034264300000000004	1
IL27	13.0	1e-08	3e-29	5.946000000000001	0.021575207000000002	1
FIGN	13.0	3e-08	1e-34	0.8599	0.02452	1
REL	13.0	3e-08	4e-16	1.27	1.12	1
C6orf15	13.0	2e-08	5e-65	1.1730286	0.21	1
ENSA	13.0	3e-09	5e-64	5.94	0.03355051	1
BUD13	12.0	6e-09	2e-44	0.39	0.03347477	1
GNG11	12.0	9e-11	5e-19	0.316	0.027710000000000002	1
BZW2	12.0	7e-10	5e-29	0.36	0.02204623	1
ERG	12.0	6e-09	1e-43	1.113	0.02230944	1
GNAS	12.0	4e-08	5e-54	0.867	0.0052	1
ATP1B1	12.0	2e-10	1e-31	2.46	0.0362	1
EYA2	12.0	4e-08	1e-16	0.0356289	0.0201	1
CCDC170	12.0	4e-08	4e-150	1.09	0.0501254	1
GPAM	12.0	7e-09	2e-18	1.14	0.02677	1
MAD1L1	12.0	2e-08	6e-13	1.21	0.003	1
CDKN1A	12.0	3e-08	1e-37	6.52	0.027999999999999997	1
IQGAP2	12.0	4e-09	1e-204	0.3249945	0.0270446	1
C8B	12.0	1e-10	2e-90	0.7941	0.2	1
ATXN2L	12.0	4e-08	1e-25	7.557	0.003	1
BRCA2	12.0	3e-08	5e-20	2.47	0.024	1
HORMAD2	12.0	3e-08	5e-15	1.4069999999999998	0.02213083	1
CD40	12.0	8e-09	4e-18	1.415	1.091	1
FES	12.0	3e-08	3e-31	1.0845987	0.0226	1
ITIH1	12.0	4e-08	2e-312	5.732	0.0231	1
DENND4A	12.0	5e-09	8e-76	6.372000000000001	0.02112256	1
LPAR1	12.0	4e-08	6e-20	2.9	0.0085	1
KIAA1462	12.0	4e-08	1e-17	1.15	0.0543	1
GCSAML	12.0	1e-13	3e-86	0.35	0.03646343	1
CYP2C9	12.0	2e-08	3e-79	6.29	0.028999999999999998	1
CYP26A1	12.0	4e-08	1e-36	6.314	0.02371978	1
CTLA4	12.0	4e-08	3e-25	1.39	1.105	1
AP2B1	12.0	8e-12	1e-130	0.24637440000000002	0.04732168	1
ALPL	12.0	7e-10	4e-130	3.6	0.03	1
FN1	12.0	3e-08	1e-49	1.071	0.023	1
LRRK2	12.0	3e-08	1e-39	9.62	1.15	1
NPPB	12.0	1e-09	5e-103	1.114	0.153	1
RBM38	12.0	3e-08	1e-39	0.21600000000000003	0.0039	1
TPM4	12.0	2e-08	1e-67	13.83	0.023593299999999998	1
ZNF664	12.0	3e-08	1e-34	0.0484	0.0208	1
SYN3	12.0	3e-10	4e-97	1.2987013	0.031	1
SWAP70	12.0	2e-08	4e-25	1.06	0.02200319	1
SULT2A1	12.0	1e-10	3e-191	0.175	0.040999999999999995	1
MPO	12.0	4e-09	4e-63	0.57	0.07	1
PTPN11	12.0	2e-09	4e-20	4.65	0.010513	1
STAT3	12.0	4e-08	6e-22	1.37	0.0227693	1
PLAUR	12.0	1e-09	1e-68	0.48	0.02979991	1
AHI1	12.0	8e-10	2e-20	1.3	0.02320973	1
TSEN15	12.0	2e-08	2e-31	0.044000000000000004	0.0232	1
ADAMTS10	12.0	3e-08	1e-18	1.12	0.0227	1
NPPC	12.0	2e-08	8e-39	0.0688	0.0418	1
SPRY2	12.0	3e-08	1e-15	1.354	0.018000000000000002	1
ZEB2	12.0	2e-08	1e-260	6.561	0.005	1
TNFSF15	12.0	3e-08	9e-42	2.0833334999999997	1.22	1
TSNARE1	12.0	2e-08	2e-15	7.25	0.017988795	1
RBPMS	12.0	3e-08	5e-14	0.03483	0.002	1
SERPINH1	12.0	3e-08	2e-23	0.053	0.005503325999999999	1
RSRC1	12.0	4e-08	2e-12	5.979	0.0346	1
SCD5	12.0	4e-09	1e-35	5.5	0.02643483	1
PLG	12.0	4e-08	2e-33	1.87	0.159	1
PKD2L1	11.0	3e-09	5e-31	1.4	0.03	1
ANAPC13	11.0	2e-08	7e-13	0.0299	0.0229	1
NT5DC2	11.0	1e-08	2e-15	7.894	0.019687362	1
ARFGEF2	11.0	2e-08	7e-16	6.631	0.016	1
HGFAC	11.0	4e-08	3e-16	0.1495	0.0075	1
PREX1	11.0	3e-08	1e-13	6.223	0.019503249	1
SLC35F1	11.0	1e-08	2e-67	6.3	0.33399999999999996	1
PROX1	11.0	8e-09	4e-21	1.92	0.0011	1
DNAJB4	11.0	4e-08	2e-10	1.1652228	0.022000000000000002	1
SLC45A3	11.0	4e-08	3e-20	1.3	0.02489375	1
FBXW11	11.0	4e-08	3e-29	1.16	0.0215	1
DLG2	11.0	4e-08	2e-25	34.24	0.7	1
SLC22A2	11.0	3e-08	2e-72	1.193	0.0061	1
RUNX3	11.0	2e-08	3e-15	1.2019229999999999	0.0215625	1
ITGB8	11.0	4e-08	3e-18	1.14	0.0226	1
BCL2A1	11.0	3e-08	5e-103	0.08744160000000001	0.02997775	1
DIS3L2	11.0	3e-08	8e-44	1.16	0.0273	1
DIP2B	11.0	4e-08	4e-14	1.1520736999999999	0.006	1
DGKB	11.0	2e-08	3e-21	1.15	0.0002	1
JUND	11.0	3e-08	3e-11	0.0318	0.002	1
HACE1	11.0	8e-09	4e-57	8.9	0.0275	1
CCND2	11.0	3e-08	8e-12	1.72	0.008	1
TSLP	11.0	2e-08	2e-22	1.516	0.03221306	1
SLC25A37	11.0	7e-09	1e-18	5.79	0.0238	1
EHD3	11.0	3e-09	2e-225	4.236000000000001	0.008	1
GAS7	11.0	1e-08	1e-78	1.19	0.17	1
PLXDC2	11.0	4e-09	3e-25	1.0764263	0.0228738	1
PHLDB1	11.0	1e-08	6e-43	1.43	0.022000000000000002	1
HP	11.0	7e-12	1e-216	0.87	0.067	1
FAIM2	11.0	3e-08	2e-18	0.12	0.023	1
AS3MT	11.0	1e-08	1e-29	1.15	0.0662	1
PLCL1	11.0	3e-08	7e-20	3.0	0.027999999999999997	1
ERBB4	11.0	9e-09	9e-14	4.01	0.018752951	1
GPR35	11.0	1e-08	2e-25	1.38	0.02066156	1
EPS15L1	11.0	2e-11	7e-132	1.1	0.0152	1
BSN	11.0	2e-08	8e-77	6.379	0.025648200000000003	1
EOMES	11.0	3e-08	2e-15	1.26	1.08	1
SLC22A1	11.0	2e-10	3e-286	1.15	0.021	1
UBASH3A	11.0	2e-08	6e-29	1.354	1.11	1
EML6	11.0	1e-08	5e-12	0.2	0.02509536	1
DAB2	11.0	7e-09	2e-20	1.23	0.0082	1
IKZF2	11.0	2e-08	2e-15	6.3	0.04209448	1
IKZF4	11.0	3e-08	4e-32	5.734	0.02350376	1
ELOVL2	11.0	4e-09	1e-43	0.351992	0.0	1
FAM3C	11.0	5e-09	1e-37	0.380837	0.1	1
GORAB	11.0	2e-08	2e-42	1.1	0.0239	1
ELMO1	11.0	2e-08	5e-15	1.18	0.03095442	1
BPTF	11.0	5e-10	6e-19	1.27	0.003	1
FAM46A	11.0	8e-09	3e-27	3.2	0.02370401	1
NFAT5	11.0	2e-08	2e-18	2.1	0.002	1
TMTC2	11.0	4e-08	7e-23	1.08	0.008	1
RET	11.0	5e-10	2e-101	23.12	0.28	1
ATM	11.0	1e-08	6e-14	1.38	0.02094241	1
CD28	11.0	7e-11	1e-20	1.4	1.12	1
SPTLC3	11.0	8e-10	7e-33	7.205	0.0	1
G6PD	11.0	9e-09	8e-135	2.46	0.0326	1
ZNF831	11.0	3e-09	6e-34	1.085	0.57718176	1
ZNF184	11.0	3e-08	1e-16	1.45	1.07	1
TNFRSF10C	11.0	3e-09	3e-18	0.03424067	0.02345243	1
THPO	11.0	5e-11	4e-74	0.3363599	0.06210831	1
LTBR	11.0	5e-09	4e-46	1.24	0.02488397	1
CFHR4	11.0	1e-09	1e-307	7.0	0.203	1
CFDP1	11.0	2e-08	2e-16	1.12	0.008	1
RASSF6	11.0	4e-08	3e-20	0.6	0.43799999999999994	1
GABBR1	11.0	1e-09	3e-26	1.67	0.2309051	1
CXCR2	11.0	5e-11	4e-42	0.4883838	0.23436910000000002	1
SPPL2A	11.0	2e-08	5e-24	5.58	0.0067	1
TLR4	11.0	2e-08	3e-70	6.792999999999999	0.018000000000000002	1
COG6	11.0	3e-08	3e-13	1.16	0.02241523	1
KCNJ11	11.0	4e-09	1e-20	1.25	0.016	1
TNFSF4	11.0	2e-08	3e-32	1.46	1.21	1
TMCO1	11.0	2e-08	2e-62	1.51	0.21	1
KCNN3	11.0	7e-09	5e-59	1.52	1.09	1
LIPA	11.0	4e-08	2e-24	1.1	0.0054	1
TBX2	11.0	2e-08	2e-24	6.959	0.02974	1
MSC	11.0	1e-08	1e-11	0.0402	0.0221	1
PELO	10.0	6e-20	6e-37	0.1532993	0.05919002	1
ETFDH	10.0	5e-12	2e-57	0.1028	0.026000000000000002	1
CBL	10.0	4e-10	5e-52	4.73	0.02713001	1
CHSY1	10.0	3e-08	6e-17	2.205	0.03752882	1
ERAP2	10.0	7e-09	0.0	2.2	1.05	1
EYA4	10.0	4e-09	9e-67	0.127	0.0061	1
ICOSLG	10.0	7e-09	4e-108	1.18	0.02151657	1
SH3PXD2A	10.0	2e-08	1e-40	1.24	0.0954	1
LRP1B	10.0	4e-08	6e-21	0.09	0.02	1
FGFRL1	10.0	9e-10	6e-52	0.08201439999999999	0.0478	1
GPD2	10.0	4e-08	2e-29	7.816	0.017866436	1
ADAMTS8	10.0	2e-08	1e-52	7.05	0.006999999999999999	1
ACADS	10.0	2e-08	0.0	0.606	0.02875	1
PEAR1	10.0	2e-09	6e-34	0.7	0.03112	1
GPC5	10.0	2e-08	5e-233	6.245	0.024	1
F11	10.0	2e-10	3e-193	1.4	0.0735	1
HOXC12	10.0	3e-08	2e-13	0.0455	0.0257	1
CCR3	10.0	4e-08	4e-25	1.3	0.03183742	1
PIGL	10.0	4e-11	5e-32	0.04209907	0.02362921	1
C11orf65	10.0	2e-09	1e-16	0.032780000000000004	0.02243228	1
HABP2	10.0	3e-08	6e-63	2.27	0.026289599999999996	1
ATAD5	10.0	4e-08	9e-14	1.16	0.021	1
CDKN2B	10.0	3e-08	3e-24	1.35	0.0045	1
C1S	10.0	1e-09	1e-69	0.7797	0.0514	1
HCN4	10.0	2e-09	1e-32	1.19	0.024063	1
PTBP2	10.0	4e-08	1e-13	0.06	0.0078	1
MAF	10.0	2e-08	9e-15	6.718999999999999	0.032	1
FANCL	10.0	4e-08	1e-12	1.1	0.0197	1
TTC39B	10.0	7e-09	1e-19	1.57	0.01	1
MACROD2	10.0	4e-08	3e-11	6.64	0.017595239	1
PIGV	10.0	1e-08	9e-16	6.25	0.037000000000000005	1
HIVEP3	10.0	4e-08	1e-14	5.824	0.02184422	1
GAB2	10.0	2e-08	6e-44	4.06	0.015	1
PNKD	10.0	2e-09	4e-17	1.12	0.02352016	1
HLA-DPA1	10.0	5e-09	6e-71	2.44	1.064	1
CASP8	10.0	2e-08	2e-19	1.27	0.03728797	1
ATAD2B	10.0	4e-08	2e-19	0.09	0.016323796	1
SETBP1	10.0	3e-08	8e-25	1.28	0.160868	1
SETD2	10.0	1e-08	3e-50	0.054741399999999996	0.02122998	1
GCDH	10.0	2e-10	5e-86	0.0712254	0.0	1
IGF1	10.0	4e-08	4e-47	0.41	0.001135	1
IGFBP5	10.0	6e-09	1e-95	1.25	0.0053	1
CAPZB	10.0	2e-08	4e-21	1.52	0.02539743	1
IRF6	10.0	2e-08	4e-29	8.3	1.2987013	1
SLC2A2	10.0	5e-09	4e-18	4.9	0.0008	1
SUFU	10.0	4e-08	1e-10	1.062	0.0206	1
DOCK3	10.0	9e-09	8e-18	1.875	0.028999999999999998	1
MYO1D	10.0	2e-08	4e-26	8.578	0.005	1
BIN1	10.0	2e-09	7e-44	1.25	0.0289	1
KLF3	10.0	9e-09	2e-48	1.43	0.002	1
KLF14	10.0	3e-08	4e-20	1.23	0.027000000000000003	1
IRF2BP2	10.0	1e-11	5e-27	1.36	0.036000000000000004	1
GSDMC	10.0	2e-09	2e-28	2.57	0.023	1
SLC44A2	10.0	8e-09	6e-45	1.21	0.02517319	1
CTNNB1	10.0	2e-08	1e-40	1.14	0.040519900000000005	1
NFKBIA	10.0	9e-09	3e-17	1.1904762	0.0270596	1
FSHB	10.0	3e-08	1e-16	5.591	0.03	1
CADM1	10.0	4e-08	2e-33	2.13	0.019	1
NOS2	10.0	1e-08	3e-16	1.255	0.073	1
SPATS2L	10.0	3e-08	2e-20	1.3315579	0.010264	1
GLRX	10.0	8e-12	1e-49	0.07948653	0.04016075	1
WNT3	10.0	2e-08	1e-26	6.362	0.012092	1
RALY	10.0	2e-08	1e-315	6.215	0.182	1
ASIP	10.0	4e-09	1e-136	14.58	0.01310935	1
CXCR5	10.0	1e-08	6e-20	1.39	0.05596	1
RARB	10.0	3e-08	4e-14	1.11	0.018000000000000002	1
INPP4B	10.0	1e-08	2e-14	0.04	0.02838224	1
NFATC1	10.0	1e-08	1e-25	1.1047964	0.006	1
NRG1	10.0	2e-08	9e-12	2.12	0.066	1
TNFRSF6B	10.0	2e-09	2e-30	1.43	0.22	1
LMX1B	10.0	3e-08	7e-32	1.1494253	0.017	1
SMOC1	10.0	9e-09	2e-30	7.1429	0.03292623	1
LMOD1	10.0	4e-08	3e-12	0.07200000000000001	0.02	1
MPPED2	10.0	4e-08	2e-26	5.483	0.0074	1
ABHD16A	10.0	3e-08	2e-16	1.14	0.6990000000000001	1
MRAS	10.0	4e-08	3e-18	1.15	0.026000000000000002	1
SLCO1C1	10.0	7e-14	2e-21	0.033	0.03	1
IL12RB2	10.0	7e-09	8e-161	2.2	0.26	1
CDC7	10.0	7e-09	6e-81	0.0959	0.013999999999999999	1
IL17RA	10.0	7e-12	0.0	0.975	0.02766255	1
EGFR	10.0	2e-08	5e-34	1.68	1.25	1
RGS14	10.0	4e-08	6e-88	1.68	0.01	1
IL1RL2	10.0	5e-09	5e-31	1.1876483999999998	0.08	1
IL1RN	10.0	4e-09	2e-21	0.19	0.009000000000000001	1
TRIP11	10.0	4e-08	4e-27	5.7	0.0181	1
EDNRA	10.0	2e-08	5e-24	1.249	0.02510091	1
RHBDD2	10.0	4e-12	1e-35	0.07663681	0.03459839	1
PADI4	10.0	4e-08	5e-21	1.5	1.11	1
SLC6A13	10.0	1e-08	1e-27	1.05	0.0055	1
GMDS	10.0	4e-08	6e-19	1.413	0.027000000000000003	1
BMP4	10.0	8e-10	3e-72	8.575	0.047356800000000004	1
IL6ST	10.0	2e-09	1e-22	1.28	0.2658	1
GALC	9.0	4e-08	2e-20	5.0	1.08	1
FRK	9.0	1e-08	2e-13	1.18	0.0263	1
ADAMTS17	9.0	4e-08	3e-45	5.6	0.0216	1
FGB	9.0	1e-11	1e-180	12.94	0.031	1
FGD5	9.0	4e-08	6e-12	0.503	0.02449	1
RIT2	9.0	3e-08	8e-12	1.19	0.016	1
RNF220	9.0	5e-09	5e-21	0.547538	0.04317580000000001	1
FLNB	9.0	3e-08	9e-19	0.43	0.006999999999999999	1
RNF186	9.0	3e-08	3e-42	1.56	1.15	1
FGG	9.0	3e-11	1e-109	1.25	0.0263	1
RHPN2	9.0	3e-08	2e-79	1.15	0.0476	1
EGF	9.0	7e-10	2e-28	0.27	0.02296516	1
SBNO2	9.0	1e-08	3e-22	0.03794556	0.0305964	1
STAT1	9.0	2e-08	3e-18	1.62	0.04537308	1
CYP24A1	9.0	2e-08	2e-72	4.0	0.018000000000000002	1
SOX5	9.0	3e-08	3e-53	2.66	0.02775	1
SOX7	9.0	2e-08	4e-19	0.02659681	0.02327049	1
CUX1	9.0	3e-09	7e-34	1.1111111999999999	0.02843539	1
CSNK1G3	9.0	2e-09	3e-12	0.2311	0.0228	1
CSK	9.0	3e-08	1e-15	1.207	0.386	1
CSF1	9.0	3e-09	1e-40	1.82	0.02965985	1
TNFSF11	9.0	2e-08	4e-21	1.168	0.04133	1
ST7L	9.0	2e-08	9e-31	0.535	0.02553016	1
COL8A1	9.0	4e-08	9e-12	1.59	0.008	1
MAPK4	9.0	4e-08	4e-10	0.7	0.02233365	1
ARID3B	9.0	2e-08	9e-22	9.58	1.1904762	1
CNNM2	9.0	3e-08	1e-51	1.29	0.03124481	1
CDCA7	9.0	4e-08	5e-10	3.48	0.309309	1
TAOK1	9.0	4e-08	2e-298	3.264	0.013000000000000001	1
ABT1	9.0	2e-08	8e-24	7.207000000000001	0.029644042000000002	1
CHRM2	9.0	6e-09	3e-18	0.512167	0.0437587	1
TLE3	9.0	3e-08	1e-17	1.1662	0.0265	1
TLN2	9.0	3e-10	1e-25	0.1347317	0.02374927	1
CEBPD	9.0	6e-13	2e-19	0.08065189	0.0642749	1
ARNTL	9.0	2e-08	7e-20	2.3	0.0351	1
DDX6	9.0	3e-08	5e-18	1.4	0.028999999999999998	1
DLEU7	9.0	3e-08	1e-69	1.26	0.04	1
DMRT1	9.0	3e-08	2e-45	1.89	0.2938	1
FBN1	9.0	4e-08	1e-29	5.808	0.113	1
FARP2	9.0	4e-09	2e-15	1.32	0.006999999999999999	1
CARD10	9.0	4e-08	4e-17	0.059000000000000004	0.008	1
APOC2	9.0	3e-19	9e-147	7.14	0.06	1
SELP	9.0	3e-08	3e-105	22.6	0.18	1
CARD9	9.0	4e-08	6e-45	1.18	0.126	1
CASR	9.0	4e-08	9e-86	1.16	0.0	1
SF3B4	9.0	1e-08	5e-32	0.087	0.027000000000000003	1
SGPP1	9.0	5e-12	1e-133	0.535136	0.0	1
SIK3	9.0	4e-08	2e-26	7.777633	0.0471667	1
SIPA1	9.0	8e-09	2e-16	0.486	0.02860245	1
SLC14A2	9.0	4e-08	6e-37	6.882000000000001	0.0083	1
ETAA1	9.0	4e-08	6e-12	3.17	0.0253	1
TPCN2	9.0	2e-09	1e-100	2.49	0.0299726	1
ARAP1	9.0	1e-08	3e-102	1.12	0.001755	1
DYM	9.0	3e-08	9e-25	4.317551	0.0292	1
DPP4	9.0	4e-08	2e-21	7.222	0.010209999999999999	1
TNNI2	9.0	9e-10	2e-20	1.068	1.068	1
SLC2A4	9.0	3e-08	3e-14	0.51	0.51	1
GALNT10	9.0	3e-08	4e-15	1.0752687	0.017	1
GLIS1	9.0	2e-08	2e-45	0.384	0.002	1
PPM1K	9.0	5e-11	2e-35	0.13	0.008	1
KCNMA1	9.0	4e-08	3e-22	8.866	0.032720599999999996	1
LDLRAP1	9.0	4e-09	5e-25	0.08055856	0.02241256	1
MTAP	9.0	1e-08	2e-27	1.2	0.0142	1
TYMP	9.0	4e-08	2e-129	0.287	0.015	1
HDGFRP2	9.0	1e-12	4e-111	0.08133153	0.02616673	1
PRKCA	9.0	3e-08	3e-14	32.05	0.05	1
ADO	9.0	7e-09	2e-36	1.19	0.02194871	1
LCAT	9.0	3e-08	3e-57	1.27	0.05	1
LBH	9.0	4e-08	2e-16	8.8	1.08	1
INPP5E	9.0	8e-11	4e-56	1.188	0.0234422	1
PPIL1	9.0	6e-10	2e-55	1.11	0.033	1
MYO1G	9.0	2e-09	2e-23	0.04963954	0.02964378	1
PLA2G6	9.0	4e-08	1e-13	1.54	0.02	1
UBE2E2	9.0	3e-08	3e-21	25.2	0.057	1
NCAN	9.0	2e-08	1e-35	3.32	0.05	1
HOXC5	9.0	6e-10	2e-18	0.0402	0.0292	1
MOV10	9.0	6e-09	5e-20	0.96	0.0244	1
HPR	9.0	7e-09	5e-45	2.34	0.0617	1
NDUFA11	9.0	2e-09	2e-63	0.568	0.060187	1
PDIA5	9.0	2e-08	4e-110	2.153	0.0055	1
ANKRD17	9.0	2e-08	5e-11	0.6	0.5	1
KCNH2	9.0	7e-10	1e-49	11.95	1.06	1
VRK2	9.0	3e-08	4e-13	2.48	0.025	1
PDE1C	9.0	4e-08	3e-12	6.999	0.016390888	1
PCSK1	9.0	4e-08	0.0	3.77	0.0008054000000000001	1
PCGF3	9.0	1e-08	1e-11	0.032876138	0.02156262	1
PAX2	9.0	2e-09	4e-18	0.665	0.0442366	1
NINJ2	9.0	2e-09	9e-21	1.29	0.0240077	1
PAX1	9.0	4e-08	1e-105	6.76	0.023	1
IL21	9.0	3e-08	3e-39	1.31	0.0230909	1
ABCA6	9.0	3e-12	7e-22	0.83	0.08326655	1
GPX4	9.0	5e-09	8e-22	1.16	0.02821863	1
NR5A2	9.0	2e-10	3e-17	1.3	0.02599	1
PTHLH	9.0	2e-08	8e-31	1.3889	0.136	1
REEP3	9.0	3e-08	5e-21	9.4663	0.015	1
GLS2	9.0	3e-13	3e-70	0.29	0.015	1
QPCTL	9.0	7e-09	2e-28	0.29	0.0263	1
LTF	9.0	1e-11	0.0	1.25	0.21	1
MET	9.0	2e-08	6e-27	0.1926	0.0187	1
TRPM8	9.0	3e-08	1e-23	1.71	0.0141	1
PUS10	9.0	7e-09	2e-32	1.19	1.05	1
TNC	9.0	3e-29	0.0	1.25	0.3	1
ABCG5	9.0	4e-09	4e-72	1.06	0.0492	1
PTPRF	9.0	4e-08	1e-12	7.077000000000001	0.017888075	1
LRPAP1	9.0	2e-08	4e-23	0.68	0.022000000000000002	1
ATG16L1	9.0	5e-09	5e-67	1.45	1.19	1
LRCH1	9.0	4e-08	2e-30	134.77	0.02800856	1
TRIB2	9.0	4e-08	7e-19	8.88	0.013999999999999999	1
AKTIP	9.0	4e-08	1e-20	0.0243	0.0243	1
BICC1	8.0	4e-08	4e-21	9.439	0.02805	1
MCM8	8.0	5e-09	2e-89	1.1	0.2	1
AMICA1	8.0	4e-09	0.0	1.0	0.146714	1
SNX20	8.0	5e-13	6e-99	3.7355110000000002	1.9665943	1
SNX13	8.0	2e-08	1e-16	0.043	0.0071	1
NR3C2	8.0	4e-08	8e-18	6.356	0.084	1
CYP2B6	8.0	3e-08	2e-31	0.6151	0.26	1
MFSD2B	8.0	7e-13	9e-40	0.06930646	0.03361199	1
TLDC1	8.0	1e-11	4e-25	0.04508825	0.02813662	1
CYP3A5	8.0	4e-09	8e-139	0.495	0.03015	1
TNFSF8	8.0	2e-10	1e-15	1.21	0.02320562	1
D2HGDH	8.0	3e-13	4e-33	1.107	0.03562407	1
LYN	8.0	4e-08	2e-10	1.1904762	0.02379194	1
WNT7B	8.0	6e-09	3e-40	4.51	0.03096531	1
KCNG3	8.0	1e-08	1e-14	1.0649627000000002	0.05	1
KCNE2	8.0	3e-08	3e-23	1.38	0.026000000000000002	1
NPC1L1	8.0	1e-10	7e-16	2.01	0.0358	1
KCND3	8.0	4e-09	3e-20	119.0	0.18	1
